io_timestamp, io_value, io_private
1402965000000, 16.6223, f
1403016420000, 14.991, f
1403040240000, 11.4086, f
1403092920000, 12.007, f
1403143620000, 15.3827, f
1403177640000, 14.9164, f
1403191140000, 15.68, f
1403225520000, 12.8992, f
1403236500000, 12.677, f
1403283240000, 12.5007, f
1403370360000, 14.3696, f
1403397540000, 11.9173, f
1403422380000, 12.9614, f
1403498040000, 15.4141, f
1403593980000, 14.88, f
1403624160000, 8.137, f
1403667600000, 14.6196, f
1403703960000, 11.7433, f
1403766900000, 13.8704, f
1403924880000, 14.8841, f
1403985060000, 12.2526, f
1404023160000, 15.9612, f
1404084300000, 16.1776, f
1404132180000, 16.4725, f
1404142320000, 14.6401, f
1404190440000, 11.9968, f
1404331500000, 14.2814, f
1404373020000, 13.3787, f
1404404280000, 14.6052, f
1404462300000, 15.1532, f
1404493740000, 14.7067, f
1404575700000, 16.5517, f
1404635760000, 8.82, f
1404664380000, 14.6282, f
1404684180000, 13.0654, f
1404699960000, 13.4216, f
1404750720000, 14.0271, f
1404843180000, 13.6559, f
1404946080000, 16.3943, f
1405004940000, 12.9835, f
1405019220000, 12.9517, f
1405035480000, 14.819, f
1405052100000, 15.3109, f
1405110840000, 14.8362, f
1406163900000, 14.4097, f
1406198940000, 13.8403, f
1406264220000, 9.9944, f
1406509080000, 13.107, f
1406532300000, 12.8852, f
1406546520000, 14.7768, f
1406599740000, 16.065, f
1406609460000, 15.3401, f
1406701560000, 15.3995, f
1406757060000, 16.7205, f
1406801400000, 17.5595, f
1406815380000, 13.5571, f
1406845500000, 17.1019, f
1406861700000, 15.1416, f
1406893380000, 15.1638, f
1406952840000, 15.1858, f
1407006180000, 13.3571, f
1407060180000, 16.9852, f
1407130980000, 14.9281, f
1407144120000, 12.5248, f
1407161400000, 14.2406, f
1407235200000, 14.5394, f
1407270540000, 12.7114, f
1407357540000, 14.8991, f
1407368820000, 14.7097, f
1407439680000, 12.3251, f
1407672120000, 14.395, f
1407732000000, 15.4363, f
1409522340000, 16.3718, f
1409567280000, 18.0769, f
1409673960000, 16.8593, f
1409765640000, 15.7073, f
1409781300000, 17.1171, f
1409792100000, 17.5717, f
1409849700000, 18.8649, f
1409916360000, 15.8664, f
1409932200000, 18.5156, f
1409969340000, 18.2913, f
1409985960000, 16.6553, f
1410040500000, 22.4537, f
1410091020000, 16.0983, f
1410153720000, 18.066, f
1410170940000, 17.0335, f
1410184560000, 17.7051, f
1410809220000, 19.2081, f
1410876420000, 17.6242, f
1410901620000, 15.4519, f
1410921060000, 12.6141, f
1410940500000, 15.5401, f
1410973140000, 17.8739, f
1410998880000, 15.1311, f
1411046040000, 15.0812, f
1411062480000, 13.7367, f
1411143180000, 14.132, f
1411199340000, 15.946, f
1411222440000, 14.118, f
1411332240000, 18.6656, f
1411350540000, 18.5563, f
1411401420000, 16.4706, f
